name,ring,quadrant,isNew,description
Java 8,Stop,Backend,FALSE,"<p>As of now Java 13 is out. Java 8 is EOL unless you pay for LTS support.
Staying with Java 8 means that you are enlarging your technical debt which will be much more difficult to overcome in the future.</p>

<p>We recommend to stop using this version and get on the new Java release train. Start using the newer versions of Java.</p>
"
Jsonnet/Ksonnet,Stop,DevOps,FALSE,"<p><a href=""https://jsonnet.org/"">Jsonnet</a> + <a href=""https://ksonnet.io/"">Ksonnet</a></p>

<p>Ksonnet project is no longer being developed. see <a href=""https://blogs.vmware.com/cloudnative/2019/02/05/welcoming-heptio-open-source-projects-to-vmware/"">here</a></p>

<p>Bottom line the Ksonnet project has stopped the development and the git repo is archived</p>
"
Mongoose,Stop,Backend,FALSE,"<p>Mongoose is a MongoDB object modeling tool, even though it is popular - data typing has many downsides on NoSQL database. Recent conventions aims to drop all ODM/ORM tools when working with MongoDB, a good article: https://towardsdatascience.com/the-drastic-mistake-of-using-mongoose-to-handle-your-big-data-a3c408e21a4c</p>

<p><strong>Why?</strong>
A short list of reason why to stop using Mongoose:</p>
<ol>
  <li>Another layer to learn, with all the idiosyncracies, special syntax, magical tags, and so on. This is mainly a disadvantage if you’re already experienced with SQL itself.</li>
  <li>Even if you’re not experienced with SQL, there is a vast bank of knowledge out there and many folks who can help with answers. Any single ORM is much more obscure knowledge not shared by many, and you will spend considerable amounts of time figuring out how to force-feed it things.</li>
  <li>Debugging query performance is challenging, because we’re abstracted one level further from “the metal”. Sometimes quite a bit of tweaking is required to get the ORM to generate the right queries for you, and this is frustrating when you already know which queries you need.</li>
</ol>
"
Monolith,Stop,Backend,FALSE,"<p>A software monolithic architecture means that all the business logic is written in one piece, in many cases - in a single executable. This is an opposite to a Micro Services Architecture (MSA) where well defined pieces of logic are separated to different, stand-alone services, communicating via Network Techniques (HTTP requests, Sockets, Queues, etc)</p>

<p>We should stop leading monolithic architectures because of several reasons:</p>

<ul>
  <li>MSA applications consist of different services, each one is a significantly smaller, simpler codebase. Much easier to maintain.</li>
  <li>in MSA Each service may serve many clients, and be used in the future for different purposes.</li>
  <li>In MSA each service can be written in a different language, regardless of the technology of other services.</li>
  <li>In MSA, each service can be fully developed in a different team, in another place in the world. Only interfaces matter.</li>
  <li>In MSA each service has its own life cycle and can be updated independently.</li>
</ul>

<p>All of the above is not the case in a monolithic application, therefore we should no longer lead to this approach.</p>
"
Open Stack,Stop,DevOps,FALSE,"<p><strong>OpenStack</strong> is a free and open-source software platform for cloud computing, mostly deployed as infrastructure-as-a-service (IaaS), whereby virtual servers and other resources are made available to customers. The software platform consists of interrelated components that control diverse, multi-vendor hardware pools of processing, storage, and networking resources throughout a data center. Users either manage it through a web-based dashboard, through command-line tools or through RESTful web services.</p>

<p>On top of OpenStack core services, that provide the basic cloud functionality of managing to compute, storage and networking resources. OpenStack project contains a set of services (sometimes named ‘The big tenet’) that provide a lot of complementary functionality such as shared storage, databases, monitoring, orchestrating and much more.</p>

"
Polymer,Stop,Frontend,FALSE,"<p><strong>End Of Life:</strong></p>

<p>For new projects, the polymer’s team recommends working with <a href=""https://lit-element.polymer-project.org/"">LitElement</a>. LitElement is a smaller, lighter successor to the Polymer library.</p>

<p>For existing Polymer apps, try upgrading to version 3.0 of the Polymer library.</p>
"
Python 2,Stop,Backend,FALSE,"<p><strong>Python</strong> is a powerful high-level, interpreted, open source, object-oriented programming language, portable, extensible and embeddable with simple syntax and large standard libraries to solve common tasks.
Python is a general-purpose language. It has a wide range of applications from Web development (like Django and Bottle), scientific and mathematical computing (Orange, SymPy, NumPy) to desktop graphical user Interfaces (Pygame, Panda3D).</p>

<p><strong>Why?</strong>
Python 2.7 will not be maintained past 2020. Originally, there was no official date. Recently, that date has been updated to January 1, 2020. We suggest stopping using this version, especially for new projects.</p>
"
Python 2,Stop,DevOps,FALSE,"<p><strong>Python</strong> is a powerful high-level, interpreted, open source, object-oriented programming language, portable, extensible and embeddable with simple syntax and large standard libraries to solve common tasks.
Python is a general-purpose language. It has a wide range of applications from Web development (like Django and Bottle), scientific and mathematical computing (Orange, SymPy, NumPy) to desktop graphical user Interfaces (Pygame, Panda3D).</p>

<p><strong>Why?</strong>
Python 2.7 will not be maintained past 2020. Originally, there was no official date. Recently, that date has been updated to January 1, 2020. We suggest stopping using this version, especially for new projects.</p>
"
Ruby,Stop,Backend,FALSE,"<p>It seems like the utilization of <strong>Ruby</strong> as a software development language which was very popular in the DevOps movement mainly with tools like <a href=""checf.io"">Chef</a> and <a href=""https://puppet.com/"">Puppet</a> Logstash Fluentd and a lot of scripting and utilities around ruby and ruby on rails application lifecycle such as Capistrano, has taken a punch in favor of <code class=""highlighter-rouge"">python</code> <code class=""highlighter-rouge"">go</code> and <code class=""highlighter-rouge"">javascript</code>. With the rise of popularity of these langs &amp; frameworks, we see less and less use of <code class=""highlighter-rouge"">ruby</code>.</p>

<p>We assume that as there will always be something written in ruby but it will most definitely not be the language of choice when we are required to develop a utility / micro-app.</p>
"
Ruby,Stop,DevOps,FALSE,"<p>It seems like the utilization of <strong>Ruby</strong> as a software development language which was very popular in the DevOps movement mainly with tools like <a href=""checf.io"">Chef</a> and <a href=""https://puppet.com/"">Puppet</a> Logstash Fluentd and a lot of scripting and utilities around ruby and ruby on rails application lifecycle such as Capistrano, has taken a punch in favor of <code class=""highlighter-rouge"">python</code> <code class=""highlighter-rouge"">go</code> and <code class=""highlighter-rouge"">javascript</code>. With the rise of popularity of these langs &amp; frameworks, we see less and less use of <code class=""highlighter-rouge"">ruby</code>.</p>

<p>We assume that as there will always be something written in ruby but it will most definitely not be the language of choice when we are required to develop a utility / micro-app.</p>
"
RxJava 1,Stop,Mobile,FALSE,"<p><strong>RxJava – Reactive Extensions for the JVM</strong></p>

<p>a library for composing asynchronous and event-based programs using observable sequences for the Java VM.</p>

<p><strong>Why stop using it?</strong></p>

<ul>
  <li><strong>RxJava 1.X</strong> does not handle back-pressure</li>
  <li><strong>RxJava 1.X</strong> will be deprecated soon and developers will have to change to RxJava 2.X at some point… rather do it now :)</li>
  <li><strong>RxJava 2.X</strong> has been completely rewritten from scratch on top of the Reactive-Streams specification. The specification itself has evolved out of RxJava 1.x and provides a common baseline for reactive systems and libraries.</li>
</ul>

<p>This is the time to stop using RxJava1 on new projects and thins about migrate to RxJava3</p>
"
Scala,Stop,Backend,FALSE,"<p>Scala combines object-oriented and functional programming in one concise, high-level language. Scala’s static types help avoid bugs in complex applications, and its JVM and JavaScript runtimes let you build high-performance systems with easy access to huge ecosystems of libraries.</p>

<p>Due to the over academization of the language and abundance of features, it has had low adoption.</p>

<p>Our current position is that scala has moved to the maintenance only, and new projects should shy away from using scala</p>
"
SVN,Stop,DevOps,FALSE,"<p>Subversion. The good old successor of the mythological CVS, represents the centralized source control tools in the OSS world. It shines in an environment of large repos and centralized management. In the age of microservices from one hand,  and a good selection of GitHub-like solutions on the other. There is no point to keep using it.</p>
"
Weka,Stop,Backend,FALSE,"<p>Weka is a java based ML library for ML. It contains classifiers and regressors along with some feature engineering tools.</p>

<p><strong>Why?</strong> 
Java-based ML is less and less used throughout projects. In the world of Microservices, it is more efficient to perform ML in Python and leave the other tasks for Java., where it excels.</p>
"
Accessibility Design,Keep,Frontend,FALSE,"<p>Accessibility refers to the design of products, devices, services, or environments for people with disabilities. The concept of accessible design ensures both “direct access” (i.e., unassisted) and “indirect access” meaning compatibility with a person’s assertive technology (for example, computer screen readers).</p>
"
Actor Model,Keep,Backend,FALSE,"<p>In the world of different programming paradigms (object-oriented, functional), the actor model does not get enough attention. 
The actor model is a conceptual model to deal with concurrent computation. It defines some general rules for how the system’s components should behave and interact with each other. The most famous language that uses this model is probably Erlang.</p>

<p>In cases that multithreading is needed, the actor model should be the default and standard solution</p>
"
Airflow,Keep,Backend,FALSE,"<p>Airflow is today the most appreciated workflow engine in the distributed world.
It allows building modular workflow with high scale, triggering, forking and joining and many more features.
In addition, a good GUI that helps to audit the workflow.</p>

<p>This framework is run on Python, which makes it very attractive to DevOps groups.</p>

<p>The ramp-up seems easy in the beginning but requires deep knowledge on later phases. the solution is also based on other Python frameworks and databases for the queue management and databases, and for the webserver.
Celery, RabbitMQ, MySQL or Postgres</p>

<p>Some drawbacks of this solution are the fact that all configuration is deployed and Python code. This may cause one bug to halt the whole of the server.
Another problem with Python is the different versions that may be installed and updated on the different servers and may not be managed properly and cause bugs in Airflow itself.</p>

<p><strong>Why?</strong>
Very few systems do not have the need for scheduling tasks. Airflow has become the main tool to solve this issue. Most could providers have a SAS solution for airflow, so we will see it becoming even more mainstream</p>
"
Akka,Keep,Backend,FALSE,"<p><strong>Akka</strong> is a free and open-source toolkit and runtime simplifying the construction of concurrent and distributed applications on the JVM. Akka supports multiple programming models for concurrency, but it emphasizes actor-based concurrency, with inspiration drawn from Erlang</p>

<p><strong>Why?</strong>
Akka is about the only full actor model in the Java ecosystem. If you plan of creating a multithreading application, Akka is a must framework to use.</p>
"
Amazon Kinesis,Keep,Backend,FALSE,"<p>Kinesis - Amazon Kinesis makes it easy to collect, process, and analyze real-time, streaming data so you can get timely insights and react quickly to new information. Amazon Kinesis offers key capabilities to cost-effectively process streaming data at any scale, along with the flexibility to choose the tools that best suit the requirements of your application. With Amazon Kinesis, you can ingest real-time data such as video, audio, application logs, website clickstreams, and IoT telemetry data for machine learning, analytics, and other applications. Amazon Kinesis enables you to process and analyze data as it arrives and responds instantly instead of having to wait until all your data is collected before the processing can begin.</p>

<p><strong>Why?</strong>
Because sometimes it is needed to deploy Data BUS for Data pipeline as a service instead of installing a complex distribution of Data BUS</p>
"
Android Auto,Keep,Mobile,FALSE,"<p>The average person spends 1 hour per day commuting, while they check their smartphone on average 125 times a day. Cars get us where are we going, while phones keep us connected. Checking your smartphone while driving is distracting, causing 25% of all accidents. <strong>Android Auto</strong> enables us to keep connected while driving and minimizes distractions. Developing for the Android Auto platform is easy and familiar to Android developers.</p>

<p>It is the same platform you already use for phones, tablets, watches, and more. All these experiences will often be in the same apk. Now it can also extend to the car, in a way that is safer and more efficient to the driver, so they can stay connected, with their hands on the wheel and eyes on the road.</p>

<p>Using Android Auto enabled apps is easy, users download the app to their phone, connect the phone to the car, the phone goes into the car mode, and casts the Auto experience to the Android Auto screen. This means even though the application is running on the phone, it is displayed on cars dash, and the driver can interact with it with car controls, voice, and touch screen.</p>

<p>In the addition to that, if a specific Android Auto device and car support the link, API is available for CAN bus, a protocol that car diagnostic tools used to diagnose the car and get data from car sensors, and optimize its performance. It is available to the Android Auto OEMs and car manufacturers via its C/C++ API, due to the extremely sensitive nature of the API.</p>

<p><strong>Why?</strong>
In recent years Android Auto gained much attention on the car aftermarket, allowing 3rd party vendors and app makers to enrich the infotainment experience. With the introduction of 5G always ON this trend will remain and require more developers to adapt their apps to Android Auto world</p>
"
Android KTX,Keep,Mobile,FALSE,"<p><strong>A set of Kotlin extensions for Android app development.</strong>
The goal of Android KTX is to make Android development with Kotlin more concise, pleasant, and idiomatic by leveraging the features of the language such as extension functions/properties, lambdas, named parameters, and parameter defaults. It is an explicit goal of this project to not add any new features to the existing Android APIs.</p>

<p>Android KTX saves a lot of boilerplate code, making development speed and productivity increase.</p>

<p><strong>Android KTX is in Preview - Bugs and Stability issues may occur</strong></p>
"
Android Pie,Keep,Mobile,FALSE,"<p><strong>Android P Features and API Overview</strong></p>

<p>It offers the following :</p>

<ul>
  <li>new RTT WiFi and location tracking. The app must have Location permission and WiFi scanning on.</li>
  <li>Smart notifications improvements such as smart reply inline from the notification bar, adding images to the reply! Saving the reply as drafts.</li>
  <li>Multi-Camera Support  - access 2 camera devices at the same time</li>
</ul>
"
AndroidX,Keep,Mobile,FALSE,"<p>Artifacts within the androidx namespace comprise the Android Jetpack libraries. Like the Support Library, libraries in the android namespace ship separately from the Android platform and provide backward compatibility across Android releases.</p>

<p>AndroidX is a major improvement to the original Android Support Library, which is no longer maintained. androidx packages fully replace the Support Library by providing feature parity and new libraries.</p>

<p>In addition, AndroidX includes the following features:</p>

<ul>
  <li>
    <p>All packages in AndroidX live in a consistent namespace starting with the string androidx. The Support Library packages have been mapped into the corresponding androidx.* packages. For a full mapping of all the old classes and build artifacts to the new ones, see the Package Refactoring page.</p>
  </li>
  <li>
    <p>Unlike the Support Library, androidx packages are separately maintained and updated. The androidx packages use strict Semantic Versioning, starting with version 1.0.0. You can update AndroidX libraries in your project independently.</p>
  </li>
  <li>
    <p>Version 28.0.0 is the last release of the Support Library. There will be no more android. support library releases. All new feature development will be in the androidx namespace.</p>
  </li>
</ul>

<p>We think it is important to keep the project up to date with androidx in order to solve project dependencies since the support lib is no longer maintained.</p>
"
Angular,Keep,Frontend,FALSE,"<p>The <strong>Angular</strong> framework, less than two years after it’s the first release, has gained a strong community and a large number of users.</p>

<p>From it’s v2 to v6, angular has proven relatively easy migration path along with frequent major releases which means that it is here to stay.</p>
"
Apache Beam,Keep,Backend,FALSE,"<p><strong>Apache Beam</strong> is an open-source, unified model for defining both batch and streaming data-parallel processing pipelines. Beam supplies an SDK in different languages (java, python, scala) to express the flow and processing of the data). The SDK then applies the runner according to the chosen platform (spark, Flink, gear…).
Beam aims to lead the industry on the proper way to deal with batch and streaming in the same pipeline. In addition, Beam addresses issues like process time vs event time and handling late data.</p>

<p><strong>Why?</strong>
Apache beam is now a leading force for the whole area of streaming. With its unified SDK, it is forcing competitor frameworks to relook into what they have to offer. In addition, google dataflow hosted beam is a great SAS service</p>
"
Apache Camel,Keep,Backend,FALSE,"<p>Apache Camel is an open-source integration framework based on known Enterprise Integration Patterns. It can also be described as a “mediation router” or a message-oriented middleware framework.
Camel has adapters for many popular APIs such as Apache Kafka, monitoring AWS EC2 instances or event integrating with Salesforce. Integration routes are written as pipelines which create a totally transparent picture of data flows.</p>

<p>Apache Camel is a versatile age proven tool to solve a complicated problem that we recommend using for its purpose.</p>
"
Apache Flink,Keep,Backend,FALSE,"<p>The core of <strong>Apache Flink</strong> is a distributed streaming dataflow engine written in Java and Scala. Flink executes arbitrary dataflow programs in a data-parallel and pipelined manner. Flink’s pipelined runtime system enables the execution of bulk/batch and stream processing programs. Furthermore, Flink’s runtime supports the execution of iterative algorithms natively.
Flink provides a high-throughput, low-latency streaming engine as well as support for event-time processing and state management. Flink applications are fault-tolerant in the event of machine failure and support exactly-once semantics</p>

<p><strong>Why?</strong>
Streaming systems have become part of almost every project. For batch, a processing spark is a great tool. But as more system moves to streaming Flink brings a better SDK model for dealing with an event to event processing.</p>
"
AWS Lambda,Keep,Backend,FALSE,"<p><strong>AWS</strong> was the first provider to offer <em>functions as a service</em> already in <a href=""https://aws.amazon.com/releasenotes/release-aws-lambda-on-2014-11-13/"">November 2014</a>. AWS initially released AWS lambda as an event-driven provisioning/operations and took just under 3 years to become the standard name of serverless and FaaS offerings.</p>

<p>AWS, as it’s competitors, offer Lambdas (a.k.a functions), as a complementary to their BaaS offerings, stitching together services such as:</p>

<ul>
  <li>Incognito</li>
  <li>S3</li>
  <li>CloudFormation</li>
  <li>DynamoDB</li>
  <li>RDS and many more</li>
</ul>

<p>These integrations alongside Lambda’s “infinite” scalability and it’s newly introduced (at the time) “Price per 100ms” made it very popular among both startups achieving their MVP and enterprises wishing to scale out or experiment with Serverless and Micro Services Architectures.</p>

<p>AWS Lambda provides many organizations the ability to write functions in a variety of programming languages and integrates well with many frameworks and other IaaS/PaaS/BaaS services.</p>

<p>More about <a href=""https://aws.amazon.com/lambda/"">AWS Lamda here</a></p>

<p>Being a major part of “Serverless” architecture this should also be part of our “Keep” advise, as Lambda provides a great way to cost-effective deploy new service on the cloud.</p>
"
AWS Lambda,Keep,DevOps,FALSE,"<p><strong>AWS</strong> was the first provider to offer <em>functions as a service</em> already in <a href=""https://aws.amazon.com/releasenotes/release-aws-lambda-on-2014-11-13/"">November 2014</a>. AWS initially released AWS lambda as an event-driven provisioning/operations and took just under 3 years to become the standard name of serverless and FaaS offerings.</p>

<p>AWS, as it’s competitors, offer Lambdas (a.k.a functions), as a complementary to their BaaS offerings, stitching together services such as:</p>

<ul>
  <li>Incognito</li>
  <li>S3</li>
  <li>CloudFormation</li>
  <li>DynamoDB</li>
  <li>RDS and many more</li>
</ul>

<p>These integrations alongside Lambda’s “infinite” scalability and it’s newly introduced (at the time) “Price per 100ms” made it very popular among both startups achieving their MVP and enterprises wishing to scale out or experiment with Serverless and Micro Services Architectures.</p>

<p>AWS Lambda provides many organizations the ability to write functions in a variety of programming languages and integrates well with many frameworks and other IaaS/PaaS/BaaS services.</p>

<p>More about <a href=""https://aws.amazon.com/lambda/"">AWS Lamda here</a></p>

<p>Being a major part of “Serverless” architecture this should also be part of our “Keep” advise, as Lambda provides a great way to cost-effective deploy new service on the cloud.</p>
"
BigQuery,Keep,Backend,FALSE,"<p>Google BigQuery is considered as a Data Warehouse as a Service. 
Unlike traditional Data Warehouse that was based on RDBMS, Google BigQuery is based on large read-only datasets. Originally, with no indexes.</p>

<p>Google took advantage of Dremel, its big data solution, and implemented it as a service. Originally, the aim was to provide big data analytics as a service that provides very high performance by leveraging the Google cloud.
Today, Google brand it more as a Data Warehouse as a service that can replace Data Warehouses that were managed on-premise.</p>

<p>The big benefit of BigQuery over RDBMS is that you do not need to know the underlying architecture or use a DBA in order to use it. Just upload your data and start using it. But the main attraction of BigQuery is that it is a Big Data solution on the cloud. That means that you can scale your data without the need to worry about performance.</p>

<p>Many companies have already adopted this DB as its Data Warehousing solution and we suggest to keep it this way.</p>
"
Celery,Keep,Backend,FALSE,"<p>The most popular tool for (a)synchronous task execution in Python projects as it adds multiprocessing capabilities to Python application.
It is typically used with a web framework such as Django, Flask or Pyramid and adds extremely flexibility by way of multiple result backends, nice config format, workflow canvas support.</p>

<p>We are recommending to use this tool when you need to process distributed tasks in Python, it works well both locally and at large scale (using Rabbitmq as backend)</p>
"
clair,Keep,DevOps,TRUE,"<p>Clair (French term - clear, bright, transparent)
Static analysis of vulnerabilities in application containers
https://github.com/coreos/clair</p>

<p>This tool is mainly used to reveal vulnerabilities in containers.
In regular intervals, Clair ingests vulnerability metadata from a configured set of sources and stores it in the database.
Clients use the Clair API to index their container images; this creates a list of features present in the image and stores them in the database.
Clients use the Clair API to query the database for vulnerabilities of a particular image; correlating vulnerabilities and features is done for each request, avoiding the need to rescan images.
When updates to vulnerability metadata occur, a notification can be sent to alert systems that a change has occurred.</p>

<p>Clair usage is easy to integrate into CI Flow and is open source.</p>
"
Cloud FaaS,Keep,DevOps,FALSE,"<p><strong>AWS</strong> was the first provider to offer <em>functions as a service</em> already in <a href=""https://aws.amazon.com/releasenotes/release-aws-lambda-on-2014-11-13/"">Nov 2014</a>. AWS initially released AWS lambda as an event-driven provisioning/operations and took just under 3 years to become the standard name of serverless and FaaS offerings.</p>

<p>AWS, as it’s competitors, offer Lambdas (a.k.a functions), as a complementary to their BaaS offerings, stitching together services such as:</p>

<ul>
  <li>Incognito</li>
  <li>S3</li>
  <li>CloudFormation</li>
  <li>DynamoDB</li>
  <li>RDS and many more</li>
</ul>

<p>These integrations alongside Lambda’s “infinite” scalability and it’s newly introduced (at the time) “Price per 100ms” made it very popular among both startups achieving their MVP and enterprises wishing to scale out or experiment with Serverless and Micro Services Architectures.</p>

<p>AWS Lambda provides many organizations the ability to write functions in a variety of Software languages and integrates well with many frameworks and other IaaS/PaaS/BaaS services.</p>

<p>More about <a href=""https://aws.amazon.com/lambda/"">AWS Lamda here</a></p>

<p><strong>Google functions</strong> enable Serverless applications based on GCP IaaS offerings.</p>

<p><em>Cloud Functions</em> lets application developers spin up code <strong>on demand</strong> in response to events originating from any API / HTTP request. Serverless architectures utilizing Google Functions integrated with Google Endpoints and BaaS services could build applications that scale from zero to infinity, on-demand - without provisioning or managing a single server.</p>

<p>As other serverless and function providers, google’s functions are the best fitted for Backend services such as Firebase, Cloud Datastore, and ML solutions also offered by the GCP.</p>

<p>More info on google functions in the following <a href=""https://cloud.google.com/functions"">link</a></p>

"
Cloud Native Solutions,Keep,Backend,FALSE,"<p><strong>Cloud Native Solution</strong>
With the broad adoption of SOA and Micro Service Architectures and many IaaS, PaaS offerings one of the “lessons learned” is that you need to be able to harness your infrastructure and start treating it in a standardized way.</p>

<p><em>So What is Cloud Native?</em> The Cloud Native Computing Foundation (CNCF) describes it as “distributed systems capable of scaling to tens of thousands of self healing multi-tenant nodes”. That’s a “how” (distributed systems) and a “why” (high scaleability and automated resilience).</p>

<p>All the above in a complex/polyglot world will only be possible with standards and tooling to enable all these moving parts to suit small to large scale microservice based applications - This is what the Cloud Native Movement and the CNCF will promote in the years to come.</p>

<p>The following principles drive Cloud Native solutions:</p>

<ul>
  <li>
    <p>Treat your own / cloud /  hybrid infrastructure as-a-service: run on servers that can be flexibly provisioned on demand.</p>
  </li>
  <li>
    <p>Microservices architecture: individual components are small, loosely coupled.</p>
  </li>
  <li>
    <p>Automated deployments and continuously integrated and test -&gt; replace manual tasks with scripts or code.</p>
  </li>
  <li>
    <p>Containerize: package processes with their dependencies making them easy to test, move and deploy.</p>
  </li>
  <li>
    <p>Orchestrate: use standard / commonly used / battle tested orchestration tools.</p>
  </li>
</ul>

<p><strong>Cloud Service Providers</strong>
As of today, the cloud service providers play a major role in all startup companies and even in big companies.
This gets the programmers to the point where knowing Linux and ops utilities is not enough. Developers are expected to be experts in the different cloud providers in order to succeed with their tasks.</p>

<p>Each cloud provider comes with new platforms, techniques, API’s and databases.</p>
"
